additional_requirements,admission_requirements,bac_type_id,bac_type_name,data_sources,duration,field_of_study,formula_explanation,historical_scores,minimum_bac_average,notes,program_description,ramz_code,ramz_id,ramz_link,seven_percent,specialty,specialty_code,table_criteria,table_institution,table_location,table_specialization,university_id,university_name
,,3,علوم تجريبية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 148.7942, '2020': 121.6252, '2021': 136.4036, '2022': 127.1516, '2023': 149.1045, '2024': 132.9796}",,,,11102,311102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311102,نعم,اللغة والآداب والحضارة,11102,FG+ANG,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإنقليزية,02,جامعة منوبة
,,6,علوم الإعلامية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 109.2481, '2020': 102.2142, '2021': 140.5793, '2022': 119.0482, '2023': 132.9101, '2024': 121.9389}",,,,11102,611102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611102,نعم,اللغة والآداب والحضارة,11102,FG+ANG,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإنقليزية,02,جامعة منوبة
,,5,العلوم التقنية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 124.7709, '2020': 133.94, '2021': 135.8954, '2022': 129.7696, '2023': 120.41, '2024': 131.9471}",,,,11102,511102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511102,نعم,اللغة والآداب والحضارة,11102,FG+ANG,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإنقليزية,02,جامعة منوبة
,,1,آداب,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 102.275, '2012': 104.7, '2013': 96.225, '2014': 97.2, '2015': 100.2, '2016': 114.2848, '2017': 111.7, '2018': 116.6174, '2019': 112.8351, '2020': 101.07, '2021': 109.955, '2022': 104.4567, '2023': 109.6764, '2024': 113.2383}",,,,11102,111102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=111102,نعم,اللغة والآداب والحضارة,11102,FG+ANG,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإنقليزية,02,جامعة منوبة
,,5,العلوم التقنية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 92.2434, '2020': 118.7754, '2021': 115.8436, '2022': 115.3139, '2023': 110.6436, '2024': 101.0599}",,,,11103,511103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511103,نعم,اللغة والآداب والحضارة,11103,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,2,رياضيات,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 113.5823, '2020': 0.0, '2021': 126.6559, '2022': 115.9165, '2023': 94.7663, '2024': 0.0}",,,,11103,211103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211103,نعم,اللغة والآداب والحضارة,11103,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,6,علوم الإعلامية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 101.3289, '2020': 0.0, '2021': 135.0822, '2022': 0.0, '2023': 0.0, '2024': 91.1034}",,,,11103,611103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611103,نعم,اللغة والآداب والحضارة,11103,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,1,آداب,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 83.8751, '2012': 89.14, '2013': 79.7415, '2014': 69.8169, '2015': 83.7082, '2016': 87.0752, '2017': 77.1118, '2018': 92.4693, '2019': 85.8567, '2020': 77.0867, '2021': 76.6085, '2022': 67.3849, '2023': 69.8618, '2024': 73.0384}",,,,11103,111103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=111103,نعم,اللغة والآداب والحضارة,11103,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,4,إقتصاد وتصرف,,,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 94.8178, '2020': 84.28, '2021': 83.9611, '2022': 81.8599, '2023': 82.9714, '2024': 81.4966}",,,,11103,411103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411103,نعم,,,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,3,علوم تجريبية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 117.0473, '2020': 117.7197, '2021': 117.8183, '2022': 106.7199, '2023': 130.8056, '2024': 118.6273}",,,,11103,311103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311103,نعم,اللغة والآداب والحضارة,11103,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,9,رياضة,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 85.0817, '2023': 0.0, '2024': 116.5016}",,,,11103,911103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=911103,نعم,اللغة والآداب والحضارة,11103,FG+F,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الفرنسية,02,جامعة منوبة
,,5,العلوم التقنية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 111.4031, '2020': 124.335, '2021': 145.5735, '2022': 135.515, '2023': 129.0634, '2024': 104.7156}",104.716,,"3 سنوات (آمد), إسبانية إجبارية",11104,511104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,,4,إقتصاد وتصرف,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 129.9676, '2020': 112.9437, '2021': 104.8582, '2022': 114.7718, '2023': 95.1, '2024': 99.1839}",95.1,,"3 سنوات (آمد), إسبانية إجبارية",11104,411104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,,6,علوم الإعلامية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 124.5266, '2020': 0.0, '2021': 0.0, '2022': 108.8982, '2023': 123.4834, '2024': 146.0229}",108.8982,,"3 سنوات (آمد), إسبانية إجبارية",11104,611104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,,3,علوم تجريبية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 122.445, '2020': 128.2897, '2021': 141.1223, '2022': 130.5685, '2023': 141.2454, '2024': 134.4562}",130.5685,,"3 سنوات (آمد), إسبانية إجبارية",11104,311104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,,9,رياضة,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 183.85714285714286, '2012': 266.4285714285714, '2013': 349.0, '2014': 431.57142857142856, '2015': 514.142857142857, '2016': 596.7142857142857, '2017': 679.2857142857142, '2018': 761.8571428571429, '2019': 844.4285714285714, '2020': 927.0, '2021': 1009.5714285714286, '2022': 1092.142857142857, '2023': 1174.7142857142858, '2024': 45.0}",,,"3 سنوات (آمد), إسبانية إجبارية",11104,911104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=911104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,,1,آداب,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 97.2, '2012': 106.025, '2013': 103.175, '2014': 95.0, '2015': 94.6148, '2016': 107.3, '2017': 97.355, '2018': 103.1983, '2019': 88.5415, '2020': 84.2019, '2021': 82.8751, '2022': 95.4334, '2023': 91.2998, '2024': 112.185}",91.2998,,"3 سنوات (آمد), إسبانية إجبارية",11104,111104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=111104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,,2,رياضيات,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 124.205, '2020': 136.409, '2021': 147.5423, '2022': 137.051, '2023': 147.8794, '2024': 0.0}",137.051,,"3 سنوات (آمد), إسبانية إجبارية",11104,211104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211104,نعم,اقتصاد وتجارة دولية,11104,FG+ESP,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإسبانية,03,جامعة تونس المنار
,إيطالية إجبارية,5,العلوم التقنية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 115.437, '2020': 111.05, '2021': 134.115, '2022': 142.0746, '2023': 123.0928, '2024': 101.8601}",101.86,,,11105,511105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,إيطالية إجبارية,9,رياضة,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 0.0, '2023': 0.0, '2024': 0.0}",,,,11105,911105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=911105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,إيطالية إجبارية,1,آداب,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 103.675, '2012': 111.15, '2013': 106.675, '2014': 85.8941, '2015': 105.05, '2016': 106.075, '2017': 101.2083, '2018': 102.1315, '2019': 107.4725, '2020': 84.4203, '2021': 104.4852, '2022': 105.1936, '2023': 110.4595, '2024': 104.365}",104.365,,,11105,111105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=111105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,إيطالية إجبارية,6,علوم الإعلامية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 131.8106, '2022': 106.2249, '2023': 174.6936, '2024': 127.7152}",106.2249,,,11105,611105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,إيطالية إجبارية,3,علوم تجريبية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 143.915, '2020': 119.165, '2021': 137.1954, '2022': 119.3945, '2023': 134.905, '2024': 133.1722}",119.3945,,,11105,311105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,إيطالية إجبارية,4,إقتصاد وتصرف,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 140.5124, '2020': 116.9814, '2021': 115.7901, '2022': 115.7899, '2023': 105.0919, '2024': 109.3166}",105.0919,,,11105,411105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,إيطالية إجبارية,2,رياضيات,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 109.9449, '2020': 140.7157, '2021': 0.0, '2022': 121.4129, '2023': 123.1517, '2024': 115.865}",115.865,,,11105,211105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211105,نعم,اقتصاد وتجارة دولية,11105,FG+IT,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإيطالية,03,جامعة تونس المنار
,ألمانية إجبارية,5,العلوم التقنية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 131.15, '2020': 118.875, '2021': 127.5066, '2022': 135.24, '2023': 171.2, '2024': 113.5859}",113.586,,,11106,511106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,ألمانية إجبارية,4,إقتصاد وتصرف,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 91.7703, '2020': 93.7071, '2021': 104.7744, '2022': 82.9586, '2023': 87.2386, '2024': 97.8036}",82.9586,,,11106,411106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,ألمانية إجبارية,6,علوم الإعلامية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 106.595, '2020': 122.0228, '2021': 118.8342, '2022': 0.0, '2023': 103.2015, '2024': 122.4525}",103.2015,,,11106,611106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,ألمانية إجبارية,3,علوم تجريبية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 198.07142857142856, '2012': 280.7857142857143, '2013': 363.5, '2014': 446.21428571428567, '2015': 528.9285714285713, '2016': 611.6428571428571, '2017': 694.3571428571428, '2018': 777.0714285714286, '2019': 859.7857142857142, '2020': 942.4999999999999, '2021': 1025.2142857142856, '2022': 1107.9285714285713, '2023': 1190.642857142857, '2024': 59.0}",137.302,,,11106,311106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,ألمانية إجبارية,2,رياضيات,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 135.6172, '2020': 128.9564, '2021': 123.2105, '2022': 134.7986, '2023': 131.0269, '2024': 148.2164}",131.0269,,,11106,211106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,ألمانية إجبارية,9,رياضة,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 185.57142857142856, '2012': 269.2857142857143, '2013': 353.0, '2014': 436.71428571428567, '2015': 520.4285714285713, '2016': 604.1428571428571, '2017': 687.8571428571428, '2018': 771.5714285714286, '2019': 855.2857142857142, '2020': 938.9999999999999, '2021': 1022.7142857142856, '2022': 1106.4285714285713, '2023': 1190.142857142857, '2024': 45.0}",,,,11106,911106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=911106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,ألمانية إجبارية,1,آداب,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 101.45, '2012': 111.0, '2013': 95.525, '2014': 87.8648, '2015': 94.4455, '2016': 109.8624, '2017': 94.5251, '2018': 92.3752, '2019': 104.8668, '2020': 105.24, '2021': 105.9867, '2022': 96.2324, '2023': 105.43, '2024': 103.56}",96.2324,,,11106,111106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=111106,نعم,اقتصاد وتجارة دولية,11106,FG+ALL,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الألمانية,03,جامعة تونس المنار
,,2,رياضيات,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 125.26, '2020': 135.5155, '2021': 139.619, '2022': 100.725, '2023': 127.395, '2024': 155.8455}",155.846,,-التنمية البشرية والقضايا الاجتماعية -الثقافة والتواصل,11120,211120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211120,نعم,علم الاجتماع,11120,FG+PH,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في عـلــم الاجتماع,03,جامعة تونس المنار
,,4,إقتصاد وتصرف,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 94.5131, '2012': 93.6482, '2013': 89.345, '2014': 89.53, '2015': 92.3196, '2016': 94.93, '2017': 92.6977, '2018': 86.8628, '2019': 80.3367, '2020': 95.4917, '2021': 103.6653, '2022': 95.1598, '2023': 93.2381, '2024': 94.3918}",94.392,,-التنمية البشرية والقضايا الاجتماعية -الثقافة والتواصل,11120,411120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411120,نعم,علم الاجتماع,11120,FG+(HG+PH)/2,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في عـلــم الاجتماع,03,جامعة تونس المنار
,,3,علوم تجريبية,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 121.5734, '2020': 132.0541, '2021': 144.7015, '2022': 137.8642, '2023': 122.9535, '2024': 118.4831}",118.483,,-التنمية البشرية والقضايا الاجتماعية -الثقافة والتواصل,11120,311120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311120,نعم,علم الاجتماع,11120,FG+PH,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في عـلــم الاجتماع,03,جامعة تونس المنار
,,5,العلوم التقنية,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 109.4343, '2020': 128.3358, '2021': 89.785, '2022': 137.051, '2023': 118.4597, '2024': 120.8565}",120.857,,-التنمية البشرية والقضايا الاجتماعية -الثقافة والتواصل,11120,511120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511120,نعم,علم الاجتماع,11120,FG+PH,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في عـلــم الاجتماع,03,جامعة تونس المنار
,,6,علوم الإعلامية,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 107.8774, '2020': 115.5279, '2021': 122.1566, '2022': 90.465, '2023': 118.0531, '2024': 113.939}",113.939,,-التنمية البشرية والقضايا الاجتماعية -الثقافة والتواصل,11120,611120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611120,نعم,علم الاجتماع,11120,FG+PH,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في عـلــم الاجتماع,03,جامعة تونس المنار
,,1,آداب,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 95.875, '2012': 98.012, '2013': 96.0058, '2014': 90.5834, '2015': 100.4463, '2016': 93.2335, '2017': 98.208, '2018': 98.5149, '2019': 111.5083, '2020': 113.2702, '2021': 122.8521, '2022': 111.692, '2023': 109.3273, '2024': 108.1503}",108.15,,-التنمية البشرية والقضايا الاجتماعية -الثقافة والتواصل,11120,111120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=111120,نعم,علم الاجتماع,11120,FG+(HG+PH)/2,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في عـلــم الاجتماع,03,جامعة تونس المنار
,,2,رياضيات,['finale-data'],3 سنوات,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 149.105, '2020': 134.195, '2021': 161.24, '2022': 156.31, '2023': 153.2, '2024': 157.945}",157.945,,علم النفس,11121,211121,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211121,لا,علم النفس,11121,FG+PH,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في علم النـفـــس,03,جامعة تونس المنار
